@relation 'Vuze 5740_ck'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
43,0,236,25,1,92,1780,yes
10,0,9,7,1,0,109,yes
9,0,12,6,1,0,190,yes
8,0,9,7,1,0,149,yes
9,0,10,7,1,0,146,yes
9,0,2,2,1,0,101,yes
50,0,191,33,1,91,2838,yes
42,0,116,38,1,90,1047,yes
0,0,0,0,1,0,14,yes
15,0,54,35,2,92,664,yes
43,0,67,22,2,80,420,yes
39,0,139,16,2,77,1317,yes
6,0,12,3,1,100,51,yes
8,0,21,3,1,100,90,yes
4,0,3,3,1,100,19,yes
36,0,75,157,4,85,397,yes
25,0,97,157,4,78,515,yes
10,0,24,151,4,75,130,yes
24,0,46,149,4,75,210,yes
4,0,4,161,5,0,19,yes
21,0,34,151,4,79,166,yes
4,0,8,146,4,66,53,yes
12,0,25,8,1,83,133,yes
4,0,6,3,1,0,29,yes
23,0,24,26,3,50,315,yes
72,0,181,47,1,95,3798,yes
3,0,1,1,1,0,152,yes
22,0,40,18,1,91,601,yes
13,0,180,35,1,90,867,yes
57,0,60,18,1,87,563,yes
15,0,12,4,1,53,186,yes
27,0,11,1,1,0,89,yes
4,0,3,3,1,0,297,yes
11,0,15,6,1,72,152,yes
21,0,9,3,1,0,641,yes
23,0,45,16,1,37,469,yes
23,0,33,22,1,86,696,yes
97,0,216,46,1,93,1796,yes
86,0,162,64,1,92,1025,yes
40,0,84,26,1,91,4459,yes
39,0,75,13,1,88,431,yes
7,0,27,9,1,71,218,yes
22,14,152,51,1,94,854,yes
6,0,27,58,2,71,142,yes
7,4,52,69,2,91,269,yes
8,0,37,63,2,83,482,yes
8,0,37,63,2,83,495,yes
10,0,50,62,2,65,259,yes
15,0,91,66,2,81,610,yes
3,0,89,25,1,43,294,yes
12,0,23,7,1,76,371,yes
69,0,121,29,1,95,2127,yes
17,0,25,10,1,73,134,yes
32,0,44,17,1,82,372,yes
4,0,7,6,1,33,37,yes
26,0,41,18,1,88,952,yes
17,0,45,29,2,86,272,yes
2,0,41,14,1,88,234,yes
16,0,6,1,1,0,80,yes
33,0,39,6,1,66,296,yes
13,0,12,5,1,90,161,yes
43,0,137,22,1,89,1288,yes
7,0,2,2,1,100,125,yes
29,0,37,34,3,78,358,yes
34,0,67,43,3,86,525,yes
43,1,71,34,3,81,354,yes
66,0,92,52,3,88,605,yes
24,0,48,42,3,87,347,yes
8,1,17,14,1,80,114,yes
38,0,131,49,3,90,882,yes
25,0,30,24,3,50,331,yes
12,0,15,8,1,78,87,yes
11,0,13,7,1,64,240,yes
9,0,15,7,1,71,88,yes
3,0,16,10,1,78,109,yes
6,0,3,1,1,0,60,yes
5,0,17,4,1,0,77,yes
2,0,55,24,1,0,302,yes
24,0,5,5,1,0,336,yes
3,0,50,11,1,0,192,yes
35,0,96,23,1,93,431,yes
0,0,18,3,1,0,99,yes
2,0,41,22,1,90,241,yes
36,0,155,32,1,91,1096,yes
8,0,39,21,1,88,204,yes
9,0,18,4,1,50,112,yes
11,0,70,16,1,84,413,yes
10,0,44,17,1,82,253,yes
29,0,85,35,2,91,724,yes
14,0,90,159,2,91,477,yes
34,0,71,61,2,82,416,yes
21,0,103,7,1,77,604,yes
21,0,45,25,1,73,660,yes
25,0,219,70,1,93,1006,yes
0,0,4,4,1,0,15,yes
3,0,18,14,1,0,57,yes
11,0,10,9,1,0,69,yes
0,0,10,13,2,74,66,yes
1,0,26,23,2,85,122,yes
21,0,39,11,1,84,567,yes
19,0,25,8,1,75,444,yes
23,0,32,8,1,70,501,yes
2,0,5,3,1,0,45,yes
22,0,95,44,1,92,603,yes
77,0,360,109,2,96,2149,yes
1,0,7,6,1,62,44,yes
7,0,10,3,1,46,110,yes
30,0,90,12,1,97,990,yes
1,0,2,2,1,0,17,yes
4,0,3,2,1,50,76,yes
1,0,4,4,1,50,25,yes
12,0,21,11,1,66,200,yes
22,0,139,20,1,89,809,yes
20,0,23,3,1,33,472,yes
65,0,250,106,2,96,2085,yes
16,0,36,12,2,100,380,yes
91,0,561,197,2,97,3598,yes
14,0,40,4,1,68,417,yes
43,0,355,101,1,95,2921,yes
12,0,152,61,1,92,798,yes
0,0,3,3,2,33,22,yes
14,0,41,4,1,65,1049,yes
68,0,388,95,2,96,2842,yes
8,0,27,11,3,64,120,yes
6,0,42,32,1,92,170,yes
5,0,3,2,1,0,30,yes
18,0,64,24,1,88,699,yes
2,0,49,8,1,0,258,yes
1,1,8,5,1,19,49,yes
3,0,17,8,2,0,84,yes
7,0,85,22,2,86,452,yes
12,0,49,9,1,66,244,yes
7,0,29,10,1,80,140,yes
1,0,10,5,1,46,47,yes
2,0,21,7,1,82,109,yes
2,0,14,5,1,40,78,yes
9,0,119,31,1,91,577,yes
4,0,1,1,1,0,17,yes
0,2,6,22,2,50,38,yes
1,0,5,5,1,60,34,yes
3,0,10,7,1,57,82,yes
1,0,7,6,1,44,50,yes
2,0,6,6,1,66,31,yes
12,0,50,15,1,73,281,yes
20,0,80,8,1,70,450,yes
30,0,163,51,1,90,977,yes
8,0,32,10,1,75,131,yes
7,0,54,12,1,82,235,yes
12,0,41,16,1,86,187,yes
4,0,20,14,1,83,77,yes
1,0,11,11,1,92,48,yes
9,0,15,15,1,50,72,yes
86,0,766,190,2,97,3651,yes
2,0,2,2,1,0,10,yes
5,0,14,7,1,61,62,yes
7,0,51,38,1,93,253,yes
5,0,5,4,1,50,48,yes
11,0,116,56,1,87,542,yes
0,0,5,5,1,60,33,yes
2,0,15,4,1,68,94,yes
121,0,730,212,2,97,3748,yes
7,0,16,7,1,57,167,yes
19,0,75,15,1,93,410,yes
8,0,7,2,1,0,58,yes
20,0,159,45,1,93,1110,yes
4,0,30,30,1,0,187,yes
18,0,18,35,2,66,247,yes
11,0,25,9,1,81,128,yes
2,0,2,2,1,0,18,yes
17,0,114,18,1,87,835,yes
24,0,128,21,1,90,979,yes
8,0,12,10,1,65,95,yes
12,0,59,29,2,89,408,yes
7,0,7,5,1,53,48,yes
2,0,22,16,1,83,115,yes
21,0,127,47,1,93,573,yes
4,0,5,5,1,19,41,yes
2,0,4,3,1,33,27,yes
10,0,67,99,3,85,450,yes
9,0,58,14,1,79,336,yes
13,0,117,91,3,0,540,yes
4,0,29,8,1,71,159,yes
24,2,167,79,2,93,878,yes
14,0,59,11,1,0,294,yes
5,0,21,33,2,25,170,yes
0,0,3,3,2,33,36,yes
7,0,16,16,1,0,166,yes
21,1,157,35,3,90,721,yes
5,0,24,10,1,76,80,yes
7,0,18,16,1,0,361,yes
24,0,59,15,1,74,346,yes
51,0,199,21,1,85,1040,yes
74,0,449,61,1,94,2319,yes
10,0,17,8,1,65,97,yes
3,0,8,31,2,57,60,yes
26,0,47,36,1,89,298,yes
14,0,19,7,1,67,131,yes
1,0,5,29,2,60,36,yes
9,0,12,4,1,8,86,yes
26,0,170,55,2,89,1123,yes
3,0,30,22,1,82,189,yes
1,0,18,14,1,78,108,yes
12,0,33,20,1,80,204,yes
17,0,48,6,1,68,309,yes
12,0,57,50,1,92,356,yes
38,0,126,47,1,91,902,yes
2,0,9,9,1,11,51,yes
0,0,10,10,1,80,56,yes
17,0,90,49,1,93,538,yes
16,0,56,43,1,93,330,yes
3,0,8,6,1,55,48,yes
3,0,11,28,3,0,66,yes
9,0,53,30,5,53,281,yes
15,0,14,4,1,31,197,yes
10,0,11,5,1,72,156,yes
5,0,63,42,1,88,457,yes
3,0,6,6,1,69,51,yes
2,0,12,10,1,80,77,yes
26,0,345,42,1,91,1973,yes
1,0,28,21,1,86,142,yes
31,0,58,24,4,75,455,yes
11,0,17,76,2,75,126,yes
12,0,80,21,1,91,489,yes
12,0,72,21,1,90,339,yes
18,0,73,18,1,91,483,yes
4,0,46,17,1,87,274,yes
1,0,8,6,1,16,46,yes
7,0,35,8,1,62,162,yes
4,0,9,7,1,60,108,yes
0,0,3,3,1,33,19,yes
0,0,2,2,2,0,20,yes
4,0,18,10,1,82,140,yes
0,0,16,2,1,0,89,yes
9,0,152,30,1,96,768,yes
9,0,126,27,1,91,634,yes
0,0,23,12,1,75,215,yes
8,0,8,6,1,83,125,yes
6,0,13,7,1,68,91,yes
0,0,34,13,1,100,415,yes
4,0,101,39,1,94,485,yes
3,0,18,8,1,37,161,yes
4,0,2,2,1,0,31,yes
5,2,81,40,1,74,517,yes
15,0,96,17,2,79,610,yes
11,0,201,52,1,95,1142,yes
22,0,309,71,1,97,1547,yes
3,0,6,3,1,41,86,yes
1,0,9,7,1,50,41,yes
7,0,31,7,1,85,204,yes
0,0,14,8,1,59,62,yes
5,0,5,2,1,50,103,yes
1,0,4,4,1,37,27,yes
0,0,11,2,1,0,52,yes
6,0,23,5,1,60,171,yes
1,0,10,2,1,50,131,yes
12,0,38,5,1,70,241,yes
2,0,77,24,2,59,390,yes
9,0,16,6,1,78,168,yes
12,0,26,11,2,79,142,yes
6,0,26,10,2,76,394,yes
0,0,0,3,3,0,4,yes
2,0,35,20,1,100,152,yes
4,0,39,8,1,62,279,yes
0,0,21,9,1,60,374,yes
2,0,12,5,1,63,353,yes
6,0,6,6,1,66,91,yes
1,0,4,3,1,100,176,yes
11,0,69,9,1,47,578,yes
9,0,69,16,1,86,305,yes
6,0,15,13,1,67,381,yes
15,0,73,26,1,89,547,yes
3,0,37,13,1,0,189,yes
3,0,3,2,1,12,72,yes
9,0,66,29,2,88,428,yes
4,0,27,31,3,85,137,yes
4,0,16,9,1,65,94,yes
48,0,433,116,1,98,3065,yes
5,0,33,13,1,66,147,yes
4,0,4,2,1,25,30,yes
23,0,254,52,1,98,1285,yes
1,0,46,19,1,78,186,yes
5,0,19,20,1,76,119,yes
19,0,244,66,1,97,1281,yes
1,0,28,10,1,70,196,yes
9,0,13,2,1,50,51,yes
6,0,33,5,1,70,207,yes
29,0,231,62,1,94,1420,yes
0,0,15,9,1,66,50,yes
14,0,11,6,1,91,82,yes
12,0,36,7,1,81,468,yes
35,0,87,39,1,93,958,yes
32,0,49,10,1,85,338,yes
21,0,51,23,1,90,680,yes
11,0,6,4,1,0,168,yes
66,0,325,154,2,95,1775,yes
48,0,183,66,1,92,1106,yes
8,0,11,15,2,50,61,yes
12,0,45,8,1,75,303,yes
5,0,17,6,1,66,179,yes
11,0,64,31,1,83,307,yes
10,0,19,12,1,79,132,yes
34,0,17,7,1,78,127,yes
34,0,183,137,1,95,863,yes
11,0,11,17,2,82,289,yes
21,0,97,74,2,82,575,yes
16,0,217,132,1,92,799,yes
44,0,239,59,1,94,1713,yes
65,0,129,71,1,93,708,yes
32,0,60,29,1,94,517,yes
19,0,65,17,1,82,334,yes
3,3,10,9,1,66,87,yes
4,0,27,17,2,69,221,yes
