@relation 'jEdit 5.5.0 new'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
0,0,80,12,1,57,275,yes
1,2,12,16,1,65,502,yes
6,0,57,14,1,42,268,yes
2,2,7,4,1,0,44,yes
28,0,42,285,3,76,398,yes
51,3,801,268,2,96,4305,yes
0,0,2,2,2,0,21,yes
4,0,8,5,2,40,50,yes
12,1,85,17,2,69,463,yes
18,0,88,68,2,95,844,yes
2,0,4,3,1,0,38,yes
4,0,177,29,1,0,642,yes
52,0,259,88,2,95,1425,yes
0,4,2,3,2,0,36,yes
2,0,47,18,1,0,228,yes
2,0,17,5,1,0,95,yes
0,0,9,8,1,50,43,yes
3,0,29,10,1,0,145,yes
2,0,50,15,1,81,414,yes
0,0,7,6,1,0,36,yes
0,0,6,6,1,44,32,yes
1,0,107,22,1,0,490,yes
0,0,16,10,2,0,68,yes
5,0,37,7,1,85,135,yes
7,0,31,15,1,57,166,yes
5,0,17,6,1,0,129,yes
2,0,14,4,1,0,94,yes
3,0,4,2,1,0,16,yes
2,0,5,5,1,90,334,yes
13,0,60,25,1,70,275,yes
4,0,16,9,1,61,102,yes
7,0,29,14,1,82,159,yes
2,0,3,5,2,0,9,yes
3,1,6,3,1,33,27,yes
8,0,46,27,3,75,259,yes
5,0,35,7,2,65,255,no
1,0,28,24,1,80,120,no
2,0,21,7,2,64,94,no
0,0,18,6,1,0,75,no
0,0,11,5,2,60,47,no
2,0,40,10,2,79,241,no
0,0,13,6,1,0,84,no
1,0,123,30,2,88,780,no
2,0,247,34,2,91,1595,no
5,0,13,2,1,50,95,no
0,0,5,5,1,0,21,no
0,0,5,4,1,50,92,no
7,0,14,3,2,22,99,no
0,0,2,2,2,0,13,no
5,0,9,1,1,0,58,no
7,4,9,4,1,66,289,no
2,0,5,12,2,0,26,no
2,0,5,12,2,0,59,no
1,0,7,12,2,0,35,no
0,0,9,2,1,0,63,no
11,0,15,3,2,35,632,no
0,0,56,21,1,67,299,no
2,0,51,33,1,56,352,no
1,0,28,9,1,82,194,no
4,0,45,18,2,83,307,no
2,0,3,3,1,0,21,no
4,0,25,14,2,75,167,no
13,0,57,17,1,73,394,no
2,2,2,9,2,0,13,no
4,0,24,10,2,70,122,no
12,2,32,16,1,71,174,no
5,0,6,20,3,0,48,no
6,0,5,20,3,33,53,no
5,0,6,20,3,0,48,no
8,0,9,20,3,0,71,no
5,0,13,84,2,0,53,no
19,0,30,28,2,90,190,no
8,0,12,26,2,75,56,no
4,0,4,20,2,0,17,no
6,0,13,23,2,65,66,no
7,0,13,22,2,0,74,no
8,0,32,21,2,66,107,no
7,0,24,22,2,75,88,no
9,0,16,22,2,50,78,no
