@relation 'maven 3.3.3-3.3.9'

@attribute CBO numeric
@attribute NOC numeric
@attribute WMC numeric
@attribute RFC numeric
@attribute DIT numeric
@attribute LCOM numeric
@attribute SLOC numeric
@attribute change {no,yes}

@data
1,0,9,22,0,59,45,no
2,0,2,46,0,0,31,no
5,0,13,26,0,84,83,no
19,0,9,22,0,86,278,yes
3,0,0,13,0,0,9,yes
1,0,6,19,0,58,29,no
1,0,3,47,0,33,20,no
2,0,7,51,0,42,63,no
0,3,2,15,0,0,9,no
3,0,3,18,1,33,60,no
7,0,5,20,1,80,56,no
1,0,7,20,0,0,112,no
1,0,2,46,0,100,13,no
3,0,3,18,1,33,68,no
7,0,1,14,1,0,43,yes
12,0,15,28,0,80,139,yes
6,0,6,19,1,0,109,no
1,0,4,17,0,0,90,no
27,5,11,24,1,68,113,no
27,0,12,25,1,70,116,no
12,0,50,63,0,49,250,no
10,0,23,94,1,56,115,no
16,0,13,26,0,76,262,yes
9,0,3,16,0,33,51,yes
11,0,7,20,0,67,79,yes
12,0,3,16,1,0,38,no
0,0,0,34,1,0,4,no
4,0,3,61,2,33,19,no
57,2,21,34,0,93,539,yes
2,0,0,13,0,0,5,no
4,0,3,16,1,33,22,no
3,0,3,74,1,33,54,no
1,0,7,20,0,0,31,no
4,0,4,75,1,0,59,no
1,0,7,20,0,0,31,no
7,0,12,32,2,66,73,no
5,0,1,25,2,0,35,no
9,0,2,15,0,0,42,yes
1,0,8,21,0,75,42,no
6,0,10,23,0,78,61,yes
34,0,14,27,0,83,213,yes
18,0,10,34,2,80,130,yes
8,0,6,19,1,66,65,no
18,0,3,17,1,26,94,yes
57,1,16,29,0,90,666,yes
6,0,1,14,0,16,17,yes
6,0,1,14,0,0,15,no
5,0,11,24,0,81,61,no
30,0,4,17,0,75,170,yes
11,0,35,48,0,92,250,yes
7,0,7,20,0,62,50,yes
13,0,2,15,0,50,235,yes
6,0,4,17,0,50,83,yes
10,0,6,19,0,50,86,no
4,0,4,17,0,37,35,yes
2,0,2,46,0,0,14,no
3,0,4,53,0,58,25,no
2,0,6,50,0,50,38,no
9,0,7,20,0,0,55,yes
